50seconds,100seconds,500seconds
2.10899,0.4703113,0.6251045
0.2223526,0.7346248,0.3650179
2.449702,0.5920832,0.4423747
0.2557833,0.3500509,0.3876609
0.4904375,0.3721962,0.6054572
1.077958,1.046315,0.4146692
0.9758117,0.5880966,0.5532151
0.4478944,0.485915,0.4903008
0.09165107,0.5045573,0.4300343
0.2763209,0.3904178,0.7132157
0.7589862,0.14802,0.5673568
0.2409878,0.4187386,0.6356908
1.232257,0.4722437,0.5655559
0.9935284,0.7286761,0.3854443
0.1176762,0.6313021,0.4090289
0.3399907,0.937425,0.5219312
0.6732301,0.5893738,0.4909552
0.6508864,0.5165917,0.4225343
0.3030193,0.3712125,0.5823222
0.3008892,0.6326598,0.4544608
0.3844805,0.4176062,0.3950827
0.4057491,0.5012033,0.532255
0.3324307,0.9008194,0.5298802
0.3946822,0.3885425,0.5582975
0.3667602,0.682357,0.3239029
0.320628,0.4556303,0.5736214
1.192939,0.229407,0.4928743
0.1935387,0.5452698,0.3266553
0.6520659,0.7072057,0.3812289
0.5732642,1.065223,0.5757967
0.35682,0.3129022,0.6428094
0.4848099,0.4724757,0.5025009
0.5313922,0.5790244,0.4269179
0.5102622,0.4621306,0.3607233
0.2626706,0.4849576,0.531282
0.7495405,0.5295662,0.2539926
0.6271521,0.4788877,0.4845924
0.4611048,0.8733397,0.4325931
0.8949686,0.9993401,0.3456572
0.53771,0.5849509,0.5391035
0.2101839,0.7730766,0.5135109
0.2278482,0.5639342,0.3886925
1.589033,0.06984068,0.3935103
0.097722,0.6065057,0.6803917
0.0592382,0.2734567,0.4000783
0.4545865,0.656901,0.5557497
0.7779056,0.6928349,0.4999459
0.5270316,0.7140197,0.6119129
0.2690367,0.8876777,0.5064401
0.8223239,0.8206451,0.4861829
0.6100891,0.1641079,0.5057806
1.261411,0.3300688,0.5207513
0.7855524,0.6029565,0.5337481
0.9672548,0.2880195,0.4560726
0.591503,0.4115464,0.5633065
0.08102676,0.712226,0.3577207
0.4281578,0.9552766,0.5599497
0.3750378,0.6195246,0.5698706
0.6806084,0.2137367,0.493201
0.5588089,0.4191853,0.6616455
1.66521,0.5008861,0.4823904
0.3755532,0.5887867,0.5037118
0.4295247,0.6438578,0.6092994
0.4724308,0.7347381,0.2259772
0.5456288,1.049155e-08,0.3591672
0.3326689,0.4193627,0.5186647
0.8264958,0.4860186,0.5271709
0.4925073,0.4356202,0.4864116
1.294319,0.6574655,0.4597993
1.114927,0.5216274,0.4921003
0.7255277,0.3471364,0.5102274
0.7690055,0.4288629,0.3782921
1.001573,0.06776726,0.4772888
0.09948252,0.3408056,0.4010478
0.2571766,0.7497079,0.3835301
0.2271292,0.3951835,0.3076912
1.354848,0.2222491,0.5087395
5.012574e-08,0.4682439,0.6170444
0.5114838,0.2890593,0.4845664
0.7526226,0.7260745,0.4169976
4.236047e-08,0.5298999,0.5247921
0.6821032,0.6167036,0.4201957
0.8350492,1.802566,0.4269822
0.1714202,0.5655669,0.5529866
0.3215426,0.3364353,0.4870466
0.5356799,0.4113691,0.4987362
7.305793e-06,0.3965601,0.4889391
1.267003,0.2797515,0.7356373
1.024031,0.6186074,0.505747
0.485448,1.0741,0.4198641
0.7699143,0.3632188,0.5405395
1.326059,0.09228209,0.5510622
0.5760385,0.4902046,0.6337867
0.9594428,0.8556998,0.6970145
0.7360201,0.6174478,0.5344652
0.8227905,0.5237508,0.6151593
0.7355705,0.4981891,0.4751088
0.08002318,0.3595436,0.3958671
0.9599207,0.8380206,0.5254639
0.3615574,0.1588937,0.482939
