50seconds,100seconds,500seconds
4.125618e-09,0.08438497,0.1418201
0.007774183,0.2084524,0.1440371
6.141991e-08,0.2210364,0.2725193
0.3232254,0.1377061,0.3295776
0.05472447,0.0824823,0.1815271
0.4247038,0.1239301,0.1309623
3.164863e-09,0.08035979,0.3036226
1.0776e-08,5.04157e-08,0.2462325
0.1614632,1.113808,0.2598464
0.5641226,0.1741512,0.3010135
7.807096e-09,0.2539314,0.1670789
2.919188e-08,0.3237743,0.2840486
0.6040431,0.4394155,0.2055627
0.2875435,5.475201e-09,0.1546748
6.002851e-08,0.0778546,0.09028671
5.237234e-07,0.1290749,0.2079934
0.3797628,2.73757e-12,0.2054953
0.6724258,0.2040888,0.2849766
0.1377651,0.8112155,0.2134925
0.4024243,0.2274587,0.2472435
3.793753e-09,0.1160862,0.1785611
1.573244e-05,0.3268997,0.2862367
0.7547367,0.1867816,0.2561807
1.337291,0.2134866,0.2111035
0.5579983,0.3312857,0.1382732
0.1481137,1.053985e-08,0.2718909
0.001567667,0.561608,0.09008255
0.9658807,0.1740367,0.3046858
0.289953,0.1206425,0.1507418
0.3858405,0.155042,0.1424256
0.1998469,0.2581549,0.1157016
0.03678991,1.733929e-08,0.1659115
0.823226,0.02519022,0.1490095
0.3572351,0.07592469,0.1254451
0.3297336,0.3784216,0.1236453
0.1240232,0.1110892,0.2065603
0.1084792,0.08102427,0.2569684
0.4245437,0.2029836,0.3107393
0.1298002,0.2527589,0.2698744
0.4619353,2.283726e-08,0.1774085
0.1900821,0.227285,0.1503148
2.624748e-09,0.2555363,0.2358727
4.826003e-06,0.5281747,0.2282689
0.3224561,0.1511511,0.1396014
0.1558626,0.2296176,0.1578132
0.04389733,0.1097902,0.2637651
0.1090038,0.1971344,0.1767629
0.3567845,0.3128327,0.2598521
0.2351433,8.014623e-08,0.1983891
2.587126e-09,0.1962196,0.2596343
0.324499,0.3033844,0.2318232
0.1830176,0.001673685,0.07128412
0.2638047,0.3455842,0.2095682
0.506686,1.096596e-08,0.1224365
2.32022e-09,0.2863326,0.1843656
0.2976688,1.974038e-08,0.1252339
0.6979293,0.2724379,0.1954027
7.831872e-08,3.711368e-09,0.1619334
0.2969961,0.237811,0.1807176
8.650675e-07,0.2691967,0.07167602
3.343927e-10,0.3459973,0.2151698
0.3264893,0.02158204,0.1256139
5.126159e-06,0.3263823,0.2210978
0.5531135,0.03183347,0.2340813
1.12475e-08,0.01296609,0.1278041
7.329337e-07,0.3527993,0.2060645
0.5894462,0.4972653,0.08353559
0.2204238,0.1018133,0.3160286
0.05313817,0.1074882,0.1505573
0.7254741,2.992689e-08,0.2708208
0.8169744,0.4655521,0.167078
3.709808e-08,0.3159742,0.2214946
5.632275e-09,0.09707044,0.2038859
0.3126751,0.1446585,0.1248277
1.628286e-08,0.1796322,0.2734669
0.2400229,0.4226689,0.4096632
0.1368556,0.3602918,0.2986467
0.0602334,0.2668716,0.3408601
0.6745179,0.5316915,0.1345999
3.895136e-07,0.02345701,0.09735364
0.234046,1.596597e-08,0.3072581
1.06441e-10,6.464428e-09,0.1116566
0.2989352,0.01495564,0.14064
0.06199937,3.703433e-08,0.07362008
0.1904509,0.2260305,0.1836903
0.3487123,0.3289077,0.1136326
0.02723196,0.3630515,0.2771508
7.769635e-10,1.600188e-07,0.1773944
1.009551,0.1852574,0.1956715
0.2659176,2.639294e-09,0.2590485
9.404302e-09,0.7480713,0.2580023
0.1485041,0.2345867,0.21888
0.2907274,0.2207861,0.2014724
6.318058e-09,0.2611026,0.09822464
0.2305004,0.3364572,0.2721315
0.3113915,3.367408e-09,0.2237537
5.95529e-10,0.3868826,0.2935006
0.2049431,0.2433295,0.1836888
0.09052938,0.1287262,0.2082321
0.431012,0.2399408,0.2070863
