50seconds,100seconds,500seconds
0.1130876,0.4425446,0.2437276
0.3403024,0.1198034,0.2707631
0.1313473,0.07618095,0.205112
0.8234049,0.2212494,0.1829191
5.816521e-09,0.06452888,0.1785738
0.3400355,0.3108608,0.3344499
0.04204081,0.1640165,0.1901256
0.2397221,0.1544636,0.2623919
0.1837925,1.327034,0.1957717
4.450129e-08,0.1319964,0.2577093
0.2111349,0.4190251,0.2600448
0.02937729,0.1239466,0.1005483
0.5441693,0.5503572,0.1899329
0.3906936,0.1965956,0.1254512
0.1591223,0.117619,0.1486789
7.560592e-09,0.1501339,0.1984055
0.3044973,0.07429183,0.1710229
0.1166221,0.1500161,0.1089349
0.05280063,0.4545298,0.2278764
0.4487283,0.1771896,0.1778589
0.8140343,0.3035815,0.1468538
0.2013577,0.1509754,0.2550135
0.2221245,0.1443708,0.2011261
0.0001440395,0.07125723,0.1830126
0.2017781,0.06056593,0.213109
0.1361854,0.1568608,0.2193329
0.2462283,1.131137,0.2615948
0.670042,0.4383362,0.2382333
2.080376e-09,0.3296672,0.137836
0.4369461,0.1532187,0.1376103
0.3105403,0.1050724,0.2758714
0.008414299,0.1113211,0.1985842
0.146919,0.159791,0.0777898
0.06945113,0.1647159,0.2431962
0.1712533,0.1014974,0.1807357
0.1163656,0.1799094,0.2125191
0.2686561,0.4552979,0.1663618
0.2916375,0.08833538,0.233495
0.1748363,0.3151223,0.3107289
0.1940796,0.08587571,0.1889989
0.1823108,0.09351741,0.1523591
0.4159067,0.1733853,0.304251
0.2032386,0.5920921,0.1855276
0.1307349,0.1987207,0.1810281
0.1082172,0.1389566,0.1979715
0.7642645,0.3443112,0.1179081
0.3390303,0.1426834,0.2167868
0.3901126,0.01275564,0.1906312
0.4265115,0.191623,0.1555061
0.2031815,0.1418546,0.2139163
0.02745233,0.2317726,0.1459771
0.2064111,0.1097583,0.2425361
0.2587806,0.2620413,0.2756958
1.014761e-07,0.4635068,0.2198996
0.04178991,0.1070171,0.136538
0.07170778,0.1211922,0.1764375
0.6285178,0.3191539,0.1509597
0.05746607,0.217255,0.1683426
1.914379,0.3988838,0.2365868
0.1231167,0.6268288,0.3150638
0.2231816,0.2760026,0.1595724
0.2616349,0.2180139,0.2716781
0.307358,0.04454922,0.1652906
0.1483173,0.2645286,0.1682426
0.07520686,0.1137154,0.1886886
2.743075,0.1264268,0.1746748
0.5519437,0.1710494,0.1737346
0.2746407,0.2153888,0.1381043
0.3843236,0.2740996,0.1837288
0.4112672,0.1424756,0.09934266
0.3523331,0.3841581,0.1606265
0.225523,0.009383187,0.1485536
0.4822474,0.3571184,0.2050953
0.8554033,0.3905571,0.1500638
0.2531863,0.2293182,0.2284216
0.219639,0.4495709,0.1865372
0.3650832,0.1491161,0.2084389
0.5078278,0.1231632,0.2903295
0.1829368,0.3375183,0.2353587
0.3376042,0.2353046,0.1770696
0.9367072,0.1654628,0.2530908
0.05092665,0.463101,0.1558488
0.3186624,0.4168414,0.2998054
0.1242546,0.3247749,0.284448
0.07450729,0.2331946,0.1446225
0.3170111,0.2279359,0.1691865
3.17045e-08,0.1279841,0.1887853
0.03222488,0.1728464,0.1330716
0.266893,0.212641,0.3085394
5.480043e-08,0.4292501,0.2035264
0.1256555,0.1645478,0.166644
0.2496964,0.1211215,0.2448855
0.3337742,0.1103815,0.1797678
0.1722053,0.06322793,0.1904416
0.1552558,0.5592355,0.2306805
2.487453e-09,0.3621022,0.3059564
0.2571538,0.08551781,0.192528
0.231613,0.3131086,0.1252479
0.3802499,0.3100927,0.2294109
0.5208401,0.1255978,0.1417329
