50seconds,100seconds,500seconds
0.2714685,1.422356,1.107728
1.432029,0.5682197,1.191073
0.8747147,0.6898728,1.257232
2.234193,0.8082594,1.214462
0.08571588,0.3680043,0.8713948
1.487478,1.077308,1.213418
0.07958936,0.6394123,1.006892
0.4657842,0.4925682,1.132288
0.8266656,8.320361,1.103273
6.162497,0.8513109,1.370774
0.4146127,2.779106,1.415158
1.280757,2.015156,0.731743
4.351485,6.388665,0.8412087
1.530944,0.7090571,0.6871069
0.9749283,0.4505254,0.8304659
0.6445922,0.9095681,0.9915894
1.515885,0.3491648,0.9049423
1.413618,0.7026911,0.9968256
0.484726,2.961473,1.251032
1.171367,1.189507,0.9682574
6.460687,0.9512424,0.6904305
0.3400508,1.031174,1.197292
1.798965,1.069672,1.023006
9.736231,0.6757071,1.208605
3.367757,0.7038944,0.8883696
0.5386355,0.3061086,1.201441
0.5777979,11.99432,1.15418
3.852141,1.569484,1.307758
0.5976676,1.446699,0.9741503
2.001642,0.8637266,0.5080472
3.156327,0.4874018,1.114143
0.03678991,0.574441,1.158212
1.193403,0.6490958,0.4326892
1.254893,0.4840509,0.9170742
1.071074,0.713657,0.8582358
0.4469292,0.8725808,1.231055
0.7772627,1.990316,0.8586505
2.672984,1.023809,1.168653
0.7070725,1.106335,2.130787
1.444736,0.2105025,1.010936
0.6729836,0.6290553,0.807739
2.753898,0.919291,1.405445
0.4881267,4.137042,0.8162378
0.7523311,0.8281799,0.8665094
0.6814499,1.233052,0.6857831
3.997718,1.051367,0.8445245
1.828952,1.083948,0.9869876
1.263355,0.7056681,1.083054
1.757012,0.4928133,0.8518062
0.6235484,0.7127097,0.9946453
0.7323667,1.06044,0.9684369
1.603064,0.4894422,0.8808037
1.421406,1.166347,1.19605
1.256388,2.128449,1.014189
0.05111246,0.5894652,0.8322371
0.5847061,0.3885894,0.6818563
3.930072,1.359349,0.8606054
0.3788206,0.6198364,0.766289
5.824327,1.351553,1.154498
1.80242,2.402726,1.646501
0.5125415,1.367897,0.976103
4.963264,0.6884511,1.417773
1.107815,1.089395,0.8438171
3.38311,0.8521002,0.9265824
2.773765,0.2058942,0.6866527
43.22039,0.8099239,0.7642141
2.450834,1.667568,0.63049
1.390532,0.7109086,1.093344
1.005444,0.7761912,0.8877633
2.499438,0.3339692,0.9415125
3.172732,3.470679,0.6406552
1.516234,0.7287631,0.9884032
1.172571,1.402524,1.059439
2.836064,1.422994,0.6042211
0.6606868,0.9629596,1.304952
0.8333904,2.140457,1.33792
1.273951,1.05185,1.254063
0.7206076,0.7103972,1.449327
2.520459,1.322376,0.9616443
0.7770353,1.185964,0.7005784
8.6984,0.3834394,1.280444
0.187955,2.217676,0.9815578
1.852323,2.067169,1.075712
0.9068556,1.030878,0.9961154
0.971195,1.156579,0.9424631
2.001452,1.47502,0.8150032
0.5750747,1.242441,0.829507
2.533456,0.4320032,0.8679642
6.540117,1.003588,1.39137
2.930905,1.751681,1.009536
0.2020694,1.703446,0.9474447
0.869936,0.7326507,1.310228
0.9347606,0.9623026,0.9658237
0.7505048,0.7847303,0.8643061
0.700154,2.374167,1.327567
3.066227,0.9752933,1.474021
1.347262,0.892829,1.127851
1.392152,1.108119,0.7293363
1.04893,0.9958719,1.202503
6.723587,0.7786827,1.155924
